Mnemonic,Ord.Mnemonic,Test,TestName,OrderingRecommendation,LOINC,SPECIMENREQUIREMENTS,SampleType,PreferredContainer,AlternateContainer,SampleVolume,HandlingInstructions,Transport,SpecimenStability,UnsuitableSpecimen,TESTING,Frequency,ExpectedTurnAround,ReferenceRange,ResponsibleDept,ReferralLab,NYSDOHApprovalStatus,CPT,Methodology,ADDITIONALINFORMATION,COMPLIANCESTATEMENT,TestCodes
"N-MID OSTEOCALCIN, BGLAP, OCN, BONE GAMMA-CARBOXYGLUTAMIC ACID-CONTAINING PROTEIN",,E705,OSTEOCALCIN,,Osteocalcin (2697-1), ,Serum,Serum Separator Tube,Plain Red Top Tube,0.5 mL,"Collect specimen per tube manufacturer's instructions. Centrifuge sample and separate serum from cells ASAP. Aliquot and freeze. Maintain sample frozen, do not thaw and refreeze.",Frozen,Ambient: 8 Hours; Refrigerated: 3 Days; Frozen: 3 Months,"Visible hemolysis, heat-inactivated samples, samples not separated from cells, samples stabilized with azide.", ,"Tuesday, Thursday",3 - 5 Days,Age and gender specific reference ranges will be applied per report,Core Laboratory,,Approved,83937,Electrochemiluminescence Immunoassay (ECLIA),Samples should not be taken from patients receiving therapy with high biotin doses (i.e. >5mg/day) until at least 8 hours following the last biotin administration.,FDA cleared or approved assay,OSTEOCALCIN
"NON-INVASIVE PRENATAL SCREEN W/ FETAL SEX, NIPS, NIPT, NON-INVASIVE PRENATAL TEST w/ FETAL SEX",,W451,ARIOSA NIPT FETAL SEX,"Cell-free DNA screening test to assess risk of fetal trisomy 21, 18, and 13 and for assessment of fetal sex.","Multiple, please inquire for details (no LOINC defined at this time)", ,Whole Blood,Cell-Free DNA Collection Tube,None,8.5 mL per tube (x2 tubes),Fill cfDNA tubes to capacity and invert 8-10x to mix,Ambient,Ambient: 7 Days,Underfilled or overfilled blood collection tubes.  Frozen specimens.  Refrigerated specimens., ,"Monday, Tuesday, Wednesday, Thursday, Friday",,Reference ranges will be applied per report,,Ariosa Diagnostics,Approved,"81507, 81599",Harmony Prenatal Test,This test is intended for use as early as 10 weeks gestational age in pregnant women of any age or risk category. Testing may be performed in twin pregnancies to evaluate for trisomies. Testing may be performed for IVF pregnancies from self or non-self egg donors.,,"FETAL cfDNA,TRISOMY 21 RESULT,T21 PROBABILITY,TRISOMY 21 RECOMMEND,TRISOMY 18 RESULT,T18 PROBABILITY,TRISOMY 18 RECOMMEND,TRISOMY 13 RESULT,T13 PROBABILITY,TRISOMY 13 RECOMMEND,FETAL SEX RESULT,GESTATIONAL AGE WEEK,GESTATIONAL AGE DAYS,GA MEASURED DATE,GA BY LMP,LMP DATE,GA BY ULTRASOUND,ULTRASOUND DATE,GA BY EDC,EDC DATE,GA BY IVF,IN VITRO DATE,NUMBER OF FETUS,EGG DONOR,EGG DONOR AGE,GA ARIOSA,TEST DESCRIPTION,CLINICAL DATA ARIOSA,DISCLAIMER ARIOSA,PRIOR AUTHORIZATION,PRE AUTH REFERENCE,ARIOSA PATIENT ID,RESEARCH OPT OUT,PATIENT CONSENT,PATIENT CONSENT DATE,PATIENT STATE,PATIENT COUNTRY,PATIENT HEIGHT,PATIENT WEIGHT,CLINICIAN CONSENT,CLINIC CONSENT DATE"
"NON-INVASIVE PRENATAL SCREEN, NIPS, NIPT, NON-INVASIVE PRENATAL TEST",,W450,ARIOSA NIPT,"Cell-free DNA screening test to assess risk of fetal trisomy 21, 18, and 13.","Multiple, please inquire for details (no LOINC defined at this time)", ,Whole Blood,Cell-Free DNA Collection Tube,None,8.5 mL per tube (x2 tubes),Fill cfDNA tubes to capacity and invert 8-10x to mix,Ambient,Ambient: 7 Days,Underfilled or overfilled blood collection tubes.  Frozen specimens.  Refrigerated specimens., ,"Monday, Tuesday, Wednesday, Thursday, Friday",,Reference ranges will be applied per report,,Ariosa Diagnostics,Approved,81507,Harmony Prenatal Test,This test is intended for use as early as 10 weeks gestational age in pregnant women of any age or risk category.  Testing may be performed in twin pregnancies to evaluate for trisomies.  Testing may be performed for IVF pregnancies from self or non-self egg donors.,,"FETAL cfDNA,TRISOMY 21 RESULT,T21 PROBABILITY,TRISOMY 21 RECOMMEND,TRISOMY 18 RESULT,T18 PROBABILITY,TRISOMY 18 RECOMMEND,TRISOMY 13 RESULT,T13 PROBABILITY,TRISOMY 13 RECOMMEND,GESTATIONAL AGE WEEK,GESTATIONAL AGE DAYS,GA MEASURED DATE,GA BY LMP,LMP DATE,GA BY ULTRASOUND,ULTRASOUND DATE,GA BY EDC,EDC DATE,GA BY IVF,IN VITRO DATE,NUMBER OF FETUS,EGG DONOR,EGG DONOR AGE,GA ARIOSA,TEST DESCRIPTION,CLINICAL DATA ARIOSA,DISCLAIMER ARIOSA,PRIOR AUTHORIZATION,PRE AUTH REFERENCE,ARIOSA PATIENT ID,RESEARCH OPT OUT,PATIENT CONSENT,PATIENT CONSENT DATE,PATIENT STATE,PATIENT COUNTRY,PATIENT HEIGHT,PATIENT WEIGHT,CLINICIAN CONSENT,CLINIC CONSENT DATE"
"N-TELOPEPTIDE CROSS-LINKED URINE, NTX, N-TELO, NTELO, N-TELOPEPTIDE",,E702,N-TELOPEPTIDE  URINE,,"N-Telopeptide (NTx) (14115-0), Creatinine, urine", ,Urine,Urine Transport,Sterile Screw-Cap Container,1.0 mL (0.5 mL minimum),"Transfer a 1 mL aliquot of urine from a well-mixed, second-morning void or 24-hour collection to a Urine Transport Tube and refrigerate or freeze.",Refrigerated or Frozen,Ambient: 7 Days; Refrigerated: 21 Days; Frozen: 21 Days,Specimens with visible whole blood contamination or hemolysis., ,"Tuesday, Thursday",2 - 4 Days,Age and gender specific reference ranges will be applied per report,Core Laboratory,,Approved,82523,Enzyme-Linked Immunosorbent Assay (ELISA),"For monitoring antiresorptive treatment, a baseline measurement should be collected prior to initiation of therapy. Due to circadian variation, subsequent measurements should be collected at the same time of day as the baseline specimen. Collect second-morning void or 24-hour urine. Refrigerate during collection. Collect without preservative.",FDA cleared or approved assay,"NTX URINE,CREATININE UR MG/DL"
"OXCARBAZEPINE METABOLITE, MONOHYDROXYCARBAZEPINE",,L116,OXCARBAZEPINE METABOLITE,,Oxcarbazepine Metabolite (31019-3), ,Serum or Plasma,Plain Red Top Tube,EDTA (Lavender Top) Tube or Fluoride (Gray Top) Tube,"1.0 mL (0.2 mL minimum, does not allow for repeat testing)",Collect specimen per tube manufacturer's instructions.  Centrifuge sample and separate serum or plasma from cells ASAP. Aliquot and refrigerate. Please submit a separate tube for this test.,Refrigerated,Ambient: 3 Days; Refrigerated: 10 Days; Frozen: 1 Month,Samples collected in serum separator tubes., ,"Monday, Wednesday, Friday",3 - 5 Days,10.0 - 35.0 mcg/mL,Analytical Chemistry,,Approved,80183,Liquid chromatography/tandem mass spectrometry (LC-MS/MS),"Ideal sampling time for all antiepileptic drugs is immediately before the next oral dose (trough).  If this is not possible, patient should not be advised to delay their scheduled dose for longer than 2-3 hours.  Sample collection and the time that the medication was last ingested should be noted on the requisition.",This test was developed and its performance characteristics determined by Sonic Reference Laboratory (SRL). It has not been cleared or approved by the U.S. Food and Drug Administration (FDA). The FDA has determined that such clearance or approval is not necessary. This test is used for clinical purposes and should not be regarded as investigational or for research. SRL is qualified to perform high complexity testing under the Clinical Laboratory Improvement Amendments (CLIA).,OXCARBAZEPINE METAB
PEDIATRIC LEAD,,L658,LEAD BLOOD CAPILLARY,,Lead blood (5671-3), ,Whole Blood,Trace Metal Free EDTA (Royal Blue Top) Tube,EDTA (Lavender Top) Tube or K2EDTA (Tan Top) Tube,"0.5 mL (0.075 mL minimum, does not allow for repeat testing)","For pediatrics: The child's hand should be thoroughly washed with soap and water, then dried with a clean, low-lint paper towel. If water is unavailable, foam soaps can be used.Refrigerate specimen after collection.",Refrigerated,Ambient: 2 Days; Refrigerated: 2 Weeks,Clotted specimens. Frozen samples., ,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",2 - 3 Days,"<5 mcg/dL (ABLES Case Definition (NIOSH, 2015); CDC Nationally Notifiable Condition (2015)).",Analytical Chemistry,,Not currently NYSDOH approved,83655,Inductively coupled plasma-mass spectrometry (ICP-MS),Testing performed on a capillary specimen may result in a falsely elevated result due to contamination from lead found on the skin surface. Results should be confirmed with a second specimen collected by venipuncture in a trace metal free container if clinically indicated.,This test was developed and its performance characteristics determined by Sonic Reference Laboratory (SRL). It has not been cleared or approved by the U.S. Food and Drug Administration (FDA). The FDA has determined that such clearance or approval is not necessary. This test is used for clinical purposes and should not be regarded as investigational or for research. SRL is qualified to perform high complexity testing under the Clinical Laboratory Improvement Amendments (CLIA).,LEAD BLOOD
"PHOSPHATIDYLGLYCEROL ANTIBODIES, IGA, IGG, AND IGM",,F287,PHOSPHATIDYLGLY ABS,Second-line test for the diagnosis of antiphospholipid syndrome (APS).,"Phosphatidylgly Ab IgA (13081-5), Phosphatidylgly Ab IgG (13079-9), Phosphatidylgly Ab IgM (13080-7)", ,Serum,Serum Separator Tube,Plain Red Top Tube,1.0 mL of Serum,Collect specimen per tube manufacturer's instructions. Separate serum from cells ASAP. Aliquot and refrigerate.,Refrigerated,Ambient: 2 Days; Refrigerated: 2 Weeks; Frozen: 1 Month,"Icteric, hemolyzed, lipemic, contaminated, heat-inactivated or plasma specimens.", ,"Tuesday, Thursday",1 - 3 Days,Phosphatidylgly Ab IgA <12 U/mLPhosphatidylgly Ab IgG <12 U/mLPhosphatidylgly Ab IgM <12 U/mL,Core Laboratory,,Not currently NYSDOH approved,83516 x3,Enzyme-Linked Immunosorbent Assay (ELISA),,This test has components designated by the manufacturer as 'For Research Use Only'. The performance characteristics of this test were determined by Sonic Reference Laboratory (SRL). The components have not been cleared or approved by the U.S. Food and Drug Administration (FDA). The test results are not intended to be used as the sole means for clinical diagnosis or patient management. SRL is qualified to perform high complexity testing under the Clinical Laboratory Improvement Amendments (CLIA).,"PHOSPHA-GLYC-A,PHOSPHA-GLYC-G,PHOSPHA-GLYC-M"
"PHOSPHATIDYLINOSITOL ANTIBODIES, IGA, IGG, AND IGM",,F288,PHOSPHATIDYLINOS ABS,Second-line test for the diagnosis of antiphospholipid syndrome (APS).,"Phosphatidylinos Ab IgA (13084-9), Phosphatidylinos Ab IgG (13082-3), Phosphatidylinos Ab IgM (13083-1)", ,Serum,Serum Separator Tube,Plain Red Top Tube,1.0 mL of Serum,Collect specimen per tube manufacturer's instructions. Separate serum from cells ASAP. Aliquot and refrigerate.,Refrigerated,Ambient: 2 Days; Refrigerated: 2 Weeks; Frozen: 1 Month,"Icteric, hemolyzed, lipemic, contaminated, heat-inactivated or plasma specimens.", ,"Tuesday, Thursday",1 - 3 Days,Phosphatidylinos Ab IgA <12 U/mLPhosphatidylinos Ab IgG <12 U/mLPhosphatidylinos Ab IgM <12 U/mL,Core Laboratory,,Not currently NYSDOH approved,83516 x3,Enzyme-Linked Immunosorbent Assay (ELISA),,This test has components designated by the manufacturer as 'For Research Use Only'. The performance characteristics of this test were determined by Sonic Reference Laboratory (SRL). The components have not been cleared or approved by the U.S. Food and Drug Administration (FDA). The test results are not intended to be used as the sole means for clinical diagnosis or patient management. SRL is qualified to perform high complexity testing under the Clinical Laboratory Improvement Amendments (CLIA).,"PHOSPHA-INOS-A,PHOSPHA-INOS-G,PHOSPHA-INOS-M"
"PHOSPHATIDYLSERINE ANTIBODIES, IGA, IGG, AND IGM",,F289,PHOSPHATIDYLSER ABS,Second-line test for the diagnosis of antiphospholipid syndrome (APS).,"Phosphatidylser Ab IgA (32031-7), Phosphatidylser Ab IgG (32032-5), Phosphatidylser Ab IgM (32033-3)", ,Serum,Serum Separator Tube,Plain Red Top Tube,1.0 mL of Serum,Collect specimen per tube manufacturer's instructions. Separate serum from cells ASAP. Aliquot and refrigerate.,Refrigerated,Ambient: 2 Days; Refrigerated: 2 Weeks; Frozen: 1 Month,"Icteric, hemolyzed, lipemic, contaminated, heat-inactivated or plasma specimens.", ,"Tuesday, Thursday",1 - 3 Days,Phosphatidylser Ab IgA <20 U/mLPhosphatidylser Ab IgG <11 U/mLPhosphatidylser Ab IgM <25 U/mL,Core Laboratory,,Not currently NYSDOH approved,86148 x3,Enzyme-Linked Immunosorbent Assay (ELISA),,FDA cleared or approved assay,"PHOSPHA-SER-A,PHOSPHA-SER-G,PHOSPHA-SER-M"
Pregnenolone,,E483,PREGNENOLONE,,Pregnenolone (2837-3), ,Serum or Plasma,Serum Separator Tube or Plain Red Top Tube,EDTA (Lavender Top) Tube or Heparin (Green Top) Tube ,"1.0 mL (0.35 mL minimum, does not allow for repeat testing)",CRITICAL FROZEN. Collect specimen per tube manufacturer's instructions. Centrifuge sample and separate serum or plasma from cells ASAP. Transfer 0.5 mL serum or plasma in two transport tubes and freeze immediately. Additional specimens must be submitted when multiple tests are ordered.,Frozen,Frozen: 2 Months ,Ambient or refrigerated samples., ,"Tuesday, Wednesday, Thursday, Saturday",1 - 4 Days,Age and gender specific reference ranges will be applied per report,Analytical Chemistry,,Not currently NYSDOH approved,84140,Liquid Chromatography/Tandem Mass Spectrometry (LC-MS/MS),,This test was developed and its performance characteristics determined by Sonic Reference Laboratory (SRL). It has not been cleared or approved by the U.S. Food and Drug Administration (FDA). The FDA has determined that such clearance or approval is not necessary. This test is used for clinical purposes and should not be regarded as investigational or for research. SRL is qualified to perform high complexity testing under the Clinical Laboratory Improvement Amendments (CLIA).,PREGNENOLONE LC-MS/MS
"PROBRAIN NATRIURETIC PEPTIDE NT, N TERMINAL PROBNP, NT Pro BNP, NT-PRO B-TYPE NATRIURETIC PEPTIDE",,E050,PROBRAIN NATRIURETIC PEPTIDE NT,,proBrain Natriuretic Peptide NT (proBNP NT) (33762-6), ,Serum,Serum Separator Tube,Plain Red Top Tube,0.5 mL,Collect specimen per tube manufacturer's instructions. Centrifuge sample and separate serum from cells ASAP. Aliquot and refrigerate or freeze.,Refrigerated or Frozen,Ambient: 3 Days; Refrigerated: 6 Days; Frozen: 2 Years,Grossly hemolyzed samples. Samples stabilized with azide., ,"Monday, Wednesday, Friday",2 - 4 Days,Age specific reference ranges will be applied per report,Core Laboratory,,Approved,83880,Electrochemiluminescence Immunoassay (ECLIA),Samples should not be taken from patients receiving therapy with high biotin doses (i.e. >5mg/day) until at least 8 hours following the last biotin administration.,FDA cleared or approved assay,PRO-BNP-NT
"PROTHROMBIN GENE MUTATION, FACTOR II",FACTOR II,W150,PROTHROMBIN G20210A,,"Prothrombin G20210A (24476-4), Interpretation", ,Whole Blood,EDTA (Lavender Top) Tube,None,5.0 mL,Refrigerate specimen after collection.,Refrigerated,Ambient: 3 Days; Refrigerated: 1 Week,Heparizined specimens., ,"Monday, Tuesday, Wednesday, Thursday, Friday",3 - 5 Days,Negative/Wild Type,Molecular,,Approved,81240,Polymerase chain reaction (PCR)/Melting curve analysis,,FDA cleared or approved assay,PROTHROMBIN G20210A
"RESPIRATORY PATHOGEN PANEL, RPP",,U651,RPP BY PCR,For detection of respiratory viruses and bacteria in nasopharyngeal specimens.,"Influenza A (34487-9), Influenza A H1 (60494-2), Influenza A H3 (49524-2), Influenza B (40982-1), RSV A (30075-6), RSV B (30076-4), Parainfluenza 1 (29908-1), Parainfluenza 2 (29909-9), Parainfluenza 3 (29910-7), Parainfluenza 4 (76087-6) Human Rhinovirus/Enterovirus (40991-2), Human Metapneumovirus (38917-1), Adenovirus (39528-5), Coronavirus 229E (41003-5), Coronavirus NL63 (41005-0), Coronavirus OC43 (41009-2), Coronavirus HKU1 (62423-9), Human Bocavirus (62424-7), Chlamydophila pneumoniae (34645-2), Mycoplasma pneumoniae (53255-6), Source (31208-2)", ,Nasopharyngeal Specimen,Viral or Universal Transport Media/Swab,None,One (1) Swab,"Nasopharyngeal Swab Collection Procedure:1) Seat the patient comfortably and tilt the head back.2) Insert a nasal speculum, if available.3) Insert a nasopharyngeal swab through the nares until resistance is met due to contact with the nasopharynx.4) Rotate the swab gently and maintain contact with the nasopharynx for 20-30 seconds or until coughing is induced.5) Once a swab specimen is collected, it should be placed immediately into the transport vial where it comes in to contact with transport media. Transport media must be used because the swab tip is small and vulnerable to drying.6) Transport the specimen to the laboratory as soon as possible. Best recovery is obtained when specimens are refrigerated at 2-8캜 or kept on wet ice following collection and while in transit.",Refrigerated,Refrigerated: 1 Week; Frozen: 2 Weeks,Ambient specimens. Specimens not in viral transport media. Calcium alginate swabs. Swabs with wooden shafts. Respiratory aspirates., ,"Monday, Tuesday, Wednesday, Thursday, Friday",1 - 3 Days,Not Detected,Molecular,,Approved,"87633, 87486, 87581","Multiplex reverse transcriptase polymerase chain reaction (RT-PCR), bead hybridization and universal tag sorting system on the Luminex MAGPIX platform",,FDA-cleared or approved assay,"INFLUENZA A RPP,INFLUENZA A H1 RPP,INFLUENZA A H3 RPP,INFLUENZA B RPP,RSV A RPP,RSV B RPP,PARAINFLUENZA 1 RPP,PARAINFLUENZA 2 RPP,PARAINFLUENZA 3 RPP,PARAINFLUENZA 4 RPP,RHINOVIRUS RPP,METAPNEUMOVIRUS RPP,ADENOVIRUS RPP,CORONAVIRUS 229E RPP,CORONAVIRUS NL63 RPP,CORONAVIRUS OC43 RPP,CORONAVIRUS HKU1 RPP,BOCAVIRUS RPP,C PNEUMONIAE RPP,M PNEUMONIAE RPP,RPP BY PCR SOURCE"
"REVERSE TRIIODOTHYRONINE, RT3",,E430,"TRIIODOTHYRONINE, REV",May be useful in the diagnosis of 'sick euthyroid' syndrome.  Generally not recommended for routine evaluation of thyroid disorders.,"T3, Reverse (3052-8)", ,Serum,Serum Separator Tube,Plain Red Top Tube,"1.0 mL (0.4 mL minimum, does not allow for repeat testing)",Allow specimen to clot in an upright position at room temperature per tube manufacturer's instructions. Centrifuge sample and separate serum from cells ASAP. Aliquot and freeze.,Frozen,Ambient: 1 Day; Refrigerated: 1 Week; Frozen: 3 Months,, ,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",1 - 4 Days,0 - 17 years: Not established> 17 years: 9.0 - 27.0 ng/dL,Analytical Chemistry,,Not currently NYSDOH approved,84482,Liquid Chromatography/Tandem Mass Spectrometry (LC-MS/MS),,This test was developed and its performance characteristics determined by Sonic Reference Laboratory (SRL). It has not been cleared or approved by the U.S. Food and Drug Administration (FDA). The FDA has determined that such clearance or approval is not necessary. This test is used for clinical purposes and should not be regarded as investigational or for research. SRL is qualified to perform high complexity testing under the Clinical Laboratory Improvement Amendments (CLIA).,"TRIIODOTHYRONINE, REV"
"RHEUMATOID FACTOR IGA/IGG/IGM, CCP AND RF ISOTYPES, RA, RF",,E611,RHEUMATOID FACTOR IGA IGG IGM,,"Rheumatoid Factor IgA (33313-8), Rheumatoid Factor IgG (33314-6), Rheumatoid Factor IgM (11573-3)", ,Serum,Serum Separator Tube,Plain Red Top Tube,1.0 mL,Collect specimen per tube manufacturer's instructions. Centrifuge sample and separate serum from cells ASAP. Aliquot and refrigerate or freeze.,Refrigerated or Frozen,Ambient: 8 Hours; Refrigerated: 2 Weeks; Frozen: 3 Months,"Grossly hemolyzed, lipemic, microbially contaminated, or heat-inactivated samples. Specimen containing azide or any visible particulate.", ,"Monday, Wednesday, Friday",1 - 4 Days,Rheumatoid Factor IgA: <7 UnitsRheumatoid Factor IgG: <7 UnitsRheumatoid Factor IgM: <7 Units,Core Laboratory,,Approved,83516 x 3,Enzyme-Linked Immunosorbent Assay (ELISA),,FDA cleared or approved assay,"RF IGA,RF IgG,RF IgM"
"SHBG, SEX HORMONE BINDING GLOBULIN",,E504,SEX HORMONE BINDING GLOBULIN,,SHBG (13967-5), ,Serum,Serum Separator Tube,Plain Red Top Tube,1.0 mL,"Collect specimen per tube manufacturer's instructions. Centrifuge sample and separate serum from cells ASAP. Aliquot and freeze. Maintain sample frozen, do not thaw and refreeze.",Frozen,Refrigerated: 1 Week; Frozen: 1 Month,"Grossly hemolyzed specimen, heat-inactivated samples, samples stabilized with azide.", ,"Monday, Tuesday, Wednesday, Thursday, Friday",1 - 2 Days,Age and gender specific reference ranges will be applied per report,Core Laboratory,,Approved,84270,Electrochemiluminescence Immunoassay (ECLIA),,FDA cleared or approved assay,SEX HORMONE BINDING
"SMA, SPINAL MUSCULAR ATROPHY, MUSCULAR ATROPHY",,W220,SMA COPY NUMBER,Carrier screening test for Spinal Muscular Atrophy (SMA) in preconception or prenatal care. Carrier screening test for reproductive partner of known SMA carrier or for individual with family history of SMA. Diagnostic test for individual with possible symptoms of SMA.,"SMA Specimen (31208-2), SMA Symptoms (75325-1), SMN1 Copies (35462-1), SMN2 Copies (54449-4), SMA Linked Variant (82155-3), SMA Interpretation (49857-6)", ,Whole Blood,EDTA (Lavender Top) Tube,See Additional Information,"5.0 mL (3.0 mL minimum, does not allow for repeat testing)",Refrigerate specimen after collection.,Refrigerated,Ambient: 3 Days; Refrigerated: 2 Weeks; Frozen: 4 Weeks,Heparinized specimens., ,Weekly,10 - 14 Days,Reference ranges will be applied per report,Molecular,,Not currently NYSDOH approved,81401,Multiplex Ligation-dependent Probe Amplification (MLPA),"Alternate Sample Type: Purified DNA, 100 킠 at 50 ng/킠 (Minimum of 20 킠 at a minimum concentration of 15ng/킠).Spinal Muscular Atrophy (SMA) is an autosomal recessive neuromuscular disorder characterized by progressive degeneration of lower motor neurons, leading to muscle weakness and atrophy. Based on the age at onset and disease severity, SMA can be divided into clinical subtypes. The most severe and most common form of SMA, type I or Werdnig-Hoffman, has onset of symptoms before six months of age and death from respiratory failure within the first two years of life. Type II SMA shows intermediate severity with onset before two years of age. Types III and IV have onset after 18 months of age with a variable symptom profile and may have normal life expectancies.SMA affects approximately 1 in 6,000 to 1 in 10,000 people and is one of the leading genetic causes of infant death. The American College of Obstetricians and Gynecologists recommends screening for spinal muscular atrophy be offered to all women who are considering pregnancy or are currently pregnant. Estimated frequencies of SMA carriers are 1:35 for Caucasians, 1:41 for Ashkenazi Jews, 1:53 for Asians, 1:66 for African-Americans and 1:117 for Hispanics (Carrier screening for Genetic Conditions. Committee Opinion No. 691. ACOG. Obstet Gynecol 2017;129:e41-55).Two nearly identical genes, telomeric Survival Motor Neuron 1 (SMN1) and centromeric Survival Motor Neuron 2 (SMN2), play pivotal roles in SMA. More than 95% of SMA carriers show deletion of at least exon 7 of the SMN1 gene. Intragenic SMN1 pathogenic variants account for the remaining causative mutations. De novo deletion of exon 7 of one SMN1 gene occurs in approximately 2% of SMA patients.The SRL assay utilizes Multiplex Ligation-dependent Probe Amplification (MLPA) for detection of copy number variants and variants linked to the silent carrier haplotype. Copy number variants of SMN1 are (NM_000344.3) exon 7 c.840C and exon 8 c.*293G; and SMN2 (NM_017411.3) exon 7 c.840T. The haplotype variants associated with SMN1 silent carriers are SMN1 c.*3+80T>G and c.*211_*212del.",This test has components designated by the manufacturer as 'For Research Use Only'. The performance characteristics of this test were determined by Sonic Reference Laboratory (SRL). The components have not been cleared or approved by the U.S. Food and Drug Administration (FDA). The test results are not intended to be used as the sole means for clinical diagnosis or patient management. SRL is qualified to perform high complexity testing under the Clinical Laboratory Improvement Amendments (CLIA).,"SMA SPECIMEN,SMA SYMPTOMS,SMN1 COPIES,SMN2 COPIES,SMA LINKED VAR,SMA INTERPRET"
TESTOSTERONE,,E505,TESTOSTERONE,,Testosterone (2986-8), ,Serum,Serum Separator Tube,Plain Red Top Tube,1.0 mL,"Collect specimen per tube manufacturer's instructions. Centrifuge sample and separate serum from cells ASAP. Aliquot and freeze. Maintain sample frozen, do not thaw and refreeze.",Frozen,Ambient: 5 Days; Refrigerated: 2 Weeks; Frozen 6 Months,"Grossly hemolyzed specimen, heat-inactivated samples, samples stabilized with azide.", ,"Monday, Tuesday, Wednesday, Thursday, Friday",1 - 2 Days,Age and gender specific reference ranges will be applied per report,Core Laboratory,,Approved,84403,Electrochemiluminescence Immunoassay (ECLIA),** Test is intended for ADULT MALES. Analytic measurement range may not be adequate for low testosterone levels (<12 ng/dL) in female and young male patients **Samples should not be taken from patients receiving therapy with high biotin doses (i.e. >5mg/day) until at least 8 hours following the last biotin administration. DO NOT collect sample from patients receiving Nandrolone treatment. Reference intervals are based on early morning testosterone levels.,FDA cleared or approved assay,TESTOSTERONE
"TESTOSTERONE BIOAVAILABLE ADULT MALE, TeBG, TESTOSTERONE-ESTROGEN BINDING GLOBULIN, SHBG, BIO TESTOSTERONE",,E508,"BIOAVAILABLE TESTOSTERONE, ADULT MALE",,"Testosterone (2986-8), SHBG (13967-5), Testosterone Bioavailable (2990-0), Testosterone Free Calculated (2991-8), Testosterone Percent Free (15432-8)", ,Serum,Serum Separator Tube,Plain Red Top Tube,2.0 mL,"Collect specimen per tube manufacturer's instructions. Centrifuge sample and separate serum from cells ASAP. Aliquot and freeze. Maintain sample frozen, do not thaw and refreeze.",Frozen,Refrigerated: 1 Week; Frozen: 1 Month,"Grossly hemolyzed specimen, heat-inactivated samples, samples stabilized with azide.", ,"Monday, Tuesday, Wednesday, Thursday, Friday",1 - 2 Days,Age and gender specific reference ranges will be applied per report,Core Laboratory,,Approved," 84403, 84270",Electrochemiluminescence Immunoassay (ECLIA),** Test is intended for ADULT MALES. Analytic measurement range may not be adequate for low testosterone levels (<12 ng/dL) in female and young male patients **Samples should not be taken from patients receiving therapy with high biotin doses (i.e. >5mg/day) until at least 8 hours following the last biotin administration. DO NOT collect sample from patients receiving Nandrolone treatment. Reference intervals are based on early morning testosterone levels.,FDA cleared or approved assay,"TESTOSTERONE,SEX HORMONE BINDING,TESTOSTERONE BIOAVAIL,TESTOSTERONE FR CALC,TESTOSTERONE %FREE"
TESTOSTERONE LC-MS/MS,,E499,"TESTOSTERONE FEMALE, CHILD",,Testosterone Total (2986-8), ,Serum,Plain Red Top Tube,Serum Separator Tube,"2.0 mL (0.8 mL minimum, does not allow for repeat testing)",Collect specimen per tube manufacturer's instructions. Centrifuge sample and separate serum from cells within 2 hours of collection. Aliquot and freeze.,Frozen,Ambient: 3 Days; Refrigerated: 1 Week; Frozen: 1 Month,"Grossly hemolyzed specimen, heat-inactivated samples, samples stabilized with azide.", ,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",1 - 4 Days,Age and gender specific reference ranges will be applied per report,Analytical Chemistry,,Approved,84403,Liquid chromatography/tandem mass spectrometry (LC-MS/MS),,This test was developed and its performance characteristics determined by Sonic Reference Laboratory (SRL). It has not been cleared or approved by the U.S. Food and Drug Administration (FDA). The FDA has determined that such clearance or approval is not necessary. This test is used for clinical purposes and should not be regarded as investigational or for research. SRL is qualified to perform high complexity testing under the Clinical Laboratory Improvement Amendments (CLIA).,TESTOSTERONE LC-MS/MS
THYROCALCITONIN,,E171,CALCITONIN,,Calcitonin (1992-7), ,Serum,Serum Separator Tube,Plain Red Top Tube,1.0 mL,"CRITICAL FROZEN. Collect specimen per tube manufacturer's instructions. Centrifuge sample and separate serum from cells ASAP. Aliquot and freeze immediately. When multiple tests are ordered, submit a separate tube for this test.",Frozen,Ambient: 4 Hours; Refrigerated: 1 Day; Frozen: 3 Months,"Visible hemolysis or grossly lipemic specimen, heat-inactivated samples, samples stabilized with azide.", ,"Tuesday, Thursday",3 - 5 Days,Gender specific reference ranges will be applied per report,Core Laboratory,,Approved,82308,Electrochemiluminescence Immunoassay (ECLIA),Samples should not be taken from patients receiving therapy with high biotin doses (i.e. >5mg/day) until at least 8 hours following the last biotin administration.,FDA cleared or approved assay,CALCITONIN
